iter	Logloss
0	0.6930606908
1	0.6927344879
2	0.6924640986
3	0.6922645525
4	0.6919458996
5	0.6918291919
6	0.6915410213
7	0.6914236785
8	0.6911429168
9	0.6909718067
10	0.6907613942
11	0.6904487389
12	0.6902439713
13	0.6900393447
14	0.6899354791
15	0.6897769994
16	0.6895610126
17	0.6894529133
18	0.689231705
19	0.6890476822
20	0.6887004522
21	0.6885531916
22	0.6884191259
23	0.6881590386
24	0.6880575015
25	0.6878904133
26	0.6877439289
27	0.6875376795
28	0.6874345195
29	0.6872540248
30	0.6871145965
31	0.6868473119
32	0.686702521
33	0.6865494745
34	0.6863255848
35	0.6861633654
36	0.6860314871
37	0.6858994677
38	0.6857627913
39	0.6855808148
40	0.6854973413
41	0.6853508569
42	0.6851479944
43	0.6849609375
44	0.6848295532
45	0.6847308385
46	0.6845474508
47	0.6842788961
48	0.684143137
49	0.6839639123
50	0.6837235114
51	0.6835707472
52	0.6834513582
53	0.6833500327
54	0.6832113806
55	0.6830289808
56	0.6828151108
57	0.6826146473
58	0.6825223537
59	0.6824176413
60	0.6822667822
61	0.6821296824
62	0.6819652756
63	0.6818226721
64	0.6816996139
65	0.6815534118
66	0.6814001535
67	0.6812685575
68	0.6811478279
69	0.6809361452
70	0.6808141455
71	0.6807065401
72	0.6805885624
73	0.6803112581
74	0.6801349971
75	0.6800654946
76	0.6799319229
77	0.679749523
78	0.6796384602
79	0.6794573304
80	0.6793472555
81	0.6792078272
82	0.6789482337
83	0.6787920825
84	0.6786674014
85	0.6784189566
86	0.6782589951
87	0.678090778
88	0.6780101269
89	0.6779445758
90	0.6778205298
91	0.6776307916
92	0.6774359731
93	0.6773138322
94	0.6770912832
95	0.6769498086
96	0.6767519559
97	0.6765855028
98	0.6764903162
99	0.6763855333
100	0.6761938194
101	0.6761145796
102	0.6759760686
103	0.6758420735
104	0.6757369378
105	0.6756498657
106	0.6754400176
107	0.675333259
108	0.675249221
109	0.6751481778
110	0.6750532029
111	0.6748190819
112	0.6745915937
113	0.6743446306
114	0.6741893967
115	0.6740893414
116	0.6739235233
117	0.6738011707
118	0.6736232868
119	0.6735400955
120	0.6734526
121	0.6733504984
122	0.6732112818
123	0.6730889293
124	0.6728831032
125	0.6727594806
126	0.6726103149
127	0.6724421683
128	0.6723740065
129	0.6722942727
130	0.672180952
131	0.6720618452
132	0.6719485244
133	0.6718335808
134	0.6717395231
135	0.6716446893
136	0.6714778834
137	0.6713328808
138	0.6711843502
139	0.6710063956
140	0.6709018244
141	0.6707276096
142	0.6706619174
143	0.6705406939
144	0.6704148133
145	0.6703100304
146	0.6701910647
147	0.6700141686
148	0.6699082568
149	0.6698177271
